date,Temp,ws,SolarRad,Rainfall,Humidity,PM10,PM2.5
01-01-13,17,0,89.24,0,69,353.92,239.56
01-02-13,18.4,2,107.57,0,68,377.76,255.73
01-03-13,18.9,0,79.21,0,74,358.93,246.32
01-04-13,19.9,2,72.29,0,70,363.61,254.28
01-05-13,18.7,2,102.34,0,60,260.23,182.96
01-06-13,18.2,2,107.14,0,53,302.63,213.63
01-07-13,17.1,2,62.77,0,59,318.23,234.27
01-08-13,12.5,2.3,139.88,0,71,313.89,255.15
01-09-13,10.4,2,95.55,0,81,320.12,253.82
01-10-13,12.3,2,40.95,0,80,417.83,315.62
01-11-13,12.5,0,94.64,0,79,345.6,263.22
01-12-13,15.8,2,106.23,0,66,289.25,214.06
01-13-13,16.8,2,107.82,0,73,365.09,264.36
01-14-13,17.7,0,108.85,0,68,339,234.98
01-15-13,18.5,2,99.62,0,63,347.8,226.9
01-16-13,18.6,0,96.12,0,68,395.49,261.86
01-17-13,19.4,0,91.06,0,67,428.73,274.27
01-18-13,20,2,116.66,0,67,290.14,223.7
01-19-13,21.6,0,109.09,0,62,320.6,213.69
01-20-13,21.5,2,100.16,0,64,241.47,167.51
01-21-13,19.6,2,137.94,0,58,215.36,137.79
01-22-13,19.4,2,82,0,58,201.67,137.51
01-23-13,19,2.3,93.59,0,59,202.14,141
01-24-13,18.5,2.7,87.77,0,60,191.06,136.87
01-25-13,15.7,2.6,95.82,0,66,226.51,168.43
01-26-13,16.1,2.4,78.43,0,59,209.62,158.67
01-27-13,17,2,115.56,0,66,258.21,197.06
01-28-13,18.2,2,84.33,0,64,261.95,196.13
01-29-13,17.9,2,117.63,0,65,261.46,187.65
01-30-13,19.6,2,115.71,0,51,300.33,215.38
01-31-13,20,0,89.72,0,60,287.98,200.93
02-01-13,19.6,0,53.2,0,69,380.15,262.2
02-02-13,21.4,2,95.93,0,59,313.24,211.89
02-03-13,22.3,2,125.15,0,49,243.83,156.7
02-04-13,22.3,2,114.32,0,55,249.45,149.17
02-05-13,23.2,2,118.82,0,58,263.57,159.96
02-06-13,23.8,3,138.5,0,53,177.74,108.17
02-07-13,24.2,2,109.86,0,55,202.87,115.05
