date,Temp,ws,Solar Rad,Rainfall,Humidity,PM10,PM2.5
01-01-13,17,0,183.69,0,69,515.31,178.41
01-02-13,18.4,2,203.27,0,68,473.83,204.03
01-03-13,18.9,0,188.48,0,74,462.50,278.17
01-04-13,19.9,2,251.45,0,70,,191.92
01-05-13,18.7,2,362.78,0,60,,
01-06-13,18.2,2,,0,53,,
01-07-13,17.1,2,173.00,0,59,220.83,255.00
01-08-13,12.5,2.3,137.65,0,71,271.03,217.70
01-09-13,10.4,2,132.54,0,81,263.36,205.36
01-10-13,12.3,2,123.94,0,80,416.27,290.69
01-11-13,12.5,0,145.00,0,79,312.39,245.63
01-12-13,15.8,2,151.13,0,66,276.26,214.04
01-13-13,16.8,2,191.01,0,73,292.34,214.24
01-14-13,17.7,0,177.68,0,68,361.72,254.90
01-15-13,18.5,2,190.69,0,63,322.05,204.31
01-16-13,18.6,0,228.69,0,68,277.08,204.76
01-17-13,19.4,0,223.79,0,67,323.88,221.97
01-18-13,20,2,,0,67,,
01-19-13,21.6,0,211.62,0,62,265.63,169.15
01-20-13,21.5,2,198.64,0,64,221.49,161.82
01-21-13,19.6,2,189.15,0,58,182.53,115.88
01-22-13,19.4,2,186.47,0,58,199.42,139.79
01-23-13,19,2.3,187.28,0,59,187.14,121.92
01-24-13,18.5,2.7,189.85,0,60,174.87,122.33
01-25-13,15.7,2.6,,0,66,,
01-26-13,16.1,2.4,325.01,0,59,181.81,128.02
01-27-13,17,2,302.82,0,66,234.81,171.79
01-28-13,18.2,2,348.99,0,64,231.52,181.67
01-29-13,17.9,2,356.43,0,65,245.20,178.18
01-30-13,19.6,2,355.47,0,51,333.56,203.05
01-31-13,20,0,363.45,0,60,276.50,197.83
02-01-13,19.6,0,382.88,0,69,342.65,245.73
02-02-13,21.4,2,386.99,0,59,296.38,224.81
02-03-13,22.3,2,403.80,0,49,237.17,167.09
02-04-13,22.3,2,430.60,0,55,216.19,125.55
02-05-13,23.2,2,414.49,0,58,242.44,164.65
02-06-13,23.8,3,423.33,0,53,197.56,119.84
02-07-13,24.2,2,427.64,0,55,222.80,130.31
02-08-13,22,2.4,408.85,0,62,132.92,76.68
02-09-13,20.7,2,389.45,0,54,152.53,114.41
02-10-13,21.5,3,381.34,0,49,175.19,127.23
02-11-13,22.5,2,387.28,0,51,187.78,133.07
02-12-13,23.3,2,356.36,0,52,201.88,128.23
02-13-13,23.4,2,395.74,0,51,196.72,125.24
02-14-13,22.4,3,399.31,0,54,208.37,169.80
02-15-13,23.8,2,406.70,0,43,353.63,228.31
02-16-13,23.5,2,373.49,0,56,262.70,156.97
02-17-13,19.1,3,374.13,0,82,211.45,123.90
02-18-13,17.9,2,202.96,8,83,41.62,77.41
02-19-13,20.4,2.5,202.75,0,63,54.98,93.16
02-20-13,22.3,2,213.87,0,55,36.05,80.11
02-21-13,23.1,2.8,221.63,0,55,32.16,84.13
02-22-13,24.5,2.5,230.98,0,51,30.68,88.66
02-23-13,24.8,2,252.55,0,56,101.84,106.93
02-24-13,25.9,2,229.66,0,51,201.59,148.73
02-25-13,25.8,2,274.54,0,49,157.07,74.04
02-26-13,25.5,2.3,260.62,0,46,133.99,89.51
02-27-13,25.6,3,299.11,0,52,152.88,82.73
02-28-13,25.2,2,295.64,0,52,188.38,113.11
03-01-13,24,3,277.78,0,43,173.91,95.17
03-02-13,24.4,2.3,282.00,0,44,190.13,104.70
03-03-13,24.8,2,289.27,0,56,173.57,104.09
03-04-13,25.5,2,294.27,0,51,233.59,156.89
03-05-13,25.1,2,300.21,0,50,233.95,154.84
03-06-13,26.1,2,294.28,0,51,361.20,221.91
03-07-13,26.5,4,301.80,0,45,289.36,184.61
03-08-13,26.2,2.3,307.33,0,45,242.24,152.27
03-09-13,26.2,3,301.12,0,47,261.43,164.81
03-10-13,27,2.7,285.19,0,43,277.47,173.69
03-11-13,26.5,2,258.00,0,68,133.23,75.00
03-12-13,27.5,2,259.85,0,70,95.21,50.09
03-13-13,26.8,2,273.44,0,74,111.47,63.60
03-14-13,28.3,2,274.99,8,66,136.85,94.08
03-15-13,29.5,2.5,,0,58,,
03-16-13,28.5,2,,0,53,,
