date,Temp,ws,Solar Rad,Rainfall,Humidity,PM10,PM2.5
01-01-13,17,0,140.45,0,69,388.12,274.59
01-02-13,18.4,2,164.83,0,68,443.78,292.14
01-03-13,18.9,0,93.80,0,74,440.40,297.39
01-04-13,19.9,2,114.00,0,70,362.31,266.01
01-05-13,18.7,2,131.83,0,60,265.14,189.65
01-06-13,18.2,2,118.79,0,53,305.77,205.87
01-07-13,17.1,2,85.66,0,59,326.73,243.88
01-08-13,12.5,2.3,153.30,0,71,310.45,252.26
01-09-13,10.4,2,107.63,0,81,310.18,242.09
01-10-13,12.3,2,121.36,0,80,372.09,297.31
01-11-13,12.5,0,123.41,0,79,363.32,287.66
01-12-13,15.8,2,142.50,0,66,369.64,263.24
01-13-13,16.8,2,140.04,0,73,430.76,285.17
01-14-13,17.7,0,141.90,0,68,394.89,274.04
01-15-13,18.5,2,147.56,0,63,370.77,239.47
01-16-13,18.6,0,118.59,0,68,399.54,256.46
01-17-13,19.4,0,116.13,0,67,427.11,276.92
01-18-13,20,2,150.73,0,67,299.54,186.57
01-19-13,21.6,0,142.51,0,62,347.17,195.14
01-20-13,21.5,2,137.13,0,64,276.99,157.56
01-21-13,19.6,2,166.38,0,58,229.16,144.70
01-22-13,19.4,2,138.19,0,58,241.84,169.55
01-23-13,19,2.3,91.66,0,59,220.43,150.31
01-24-13,18.5,2.7,115.28,0,60,200.50,137.31
01-25-13,15.7,2.6,103.37,0,66,219.66,159.74
01-26-13,16.1,2.4,97.48,0,59,218.14,131.88
01-27-13,17,2,147.10,0,66,289.35,214.01
01-28-13,18.2,2,133.40,0,64,278.26,219.56
01-29-13,17.9,2,123.35,0,65,333.07,223.26
01-30-13,19.6,2,138.65,0,51,402.50,257.84
01-31-13,20,0,142.58,0,60,413.14,258.53
02-01-13,19.6,0,68.13,0,69,486.78,304.72
02-02-13,21.4,2,139.41,0,59,380.09,257.90
02-03-13,22.3,2,166.90,0,49,355.40,221.62
02-04-13,22.3,2,157.67,0,55,311.39,184.89
02-05-13,23.2,2,153.30,0,58,355.60,217.65
02-06-13,23.8,3,184.54,0,53,283.70,177.89
02-07-13,24.2,2,142.18,0,55,276.47,161.52
02-08-13,22,2.4,144.37,0,62,167.50,102.66
02-09-13,20.7,2,195.81,0,54,194.83,117.40
02-10-13,21.5,3,197.70,0,49,241.96,144.66
02-11-13,22.5,2,176.84,0,51,215.50,168.34
02-12-13,23.3,2,156.32,0,52,175.79,144.19
02-13-13,23.4,2,169.45,0,51,94.61,150.56
02-14-13,22.4,3,200.12,0,54,325.10,178.31
02-15-13,23.8,2,206.31,0,43,354.03,208.85
02-16-13,23.5,2,126.05,0,56,326.63,112.45
02-17-13,19.1,3,64.58,0,82,167.81,30.59
02-18-13,17.9,2,111.61,8,83,135.83,114.27
02-19-13,20.4,2.5,217.51,0,63,209.45,134.82
02-20-13,22.3,2,241.86,0,55,187.12,119.49
02-21-13,23.1,2.8,237.81,0,55,157.33,105.47
02-22-13,24.5,2.5,243.43,0,51,163.70,74.47
02-23-13,24.8,2,244.03,0,56,253.63,94.27
02-24-13,25.9,2,244.74,0,51,201.43,180.00
02-25-13,25.8,2,242.86,0,49,188.27,108.86
02-26-13,25.5,2.3,261.59,0,46,151.96,85.74
02-27-13,25.6,3,304.02,0,52,206.27,124.60
02-28-13,25.2,2,344.00,0,52,366.34,158.72
03-01-13,24,3,268.68,0,43,267.30,140.82
03-02-13,24.4,2.3,267.55,0,44,266.70,127.34
03-03-13,24.8,2,250.50,0,56,211.76,124.69
03-04-13,25.5,2,229.13,0,51,328.58,229.99
03-05-13,25.1,2,247.60,0,50,309.48,194.83
03-06-13,26.1,2,230.10,0,51,464.79,261.77
03-07-13,26.5,4,232.41,0,45,420.24,222.39
03-08-13,26.2,2.3,258.84,0,45,339.78,182.71
