,,,Pollutant:,PM10,,,,Pollutant:,PM2.5,,
Week start,Week end,,Actual ,Forecasted ,95% CI ,95% CI ,,Actual ,Forecasted ,95% CI ,95% CI 
,,,PM10,PM10,(Lower),(Upper),,PM2.5,PM2.5,(Lower),(Upper)
09-12-17,15-12-17,,153.33,111.59,0,289.79,,99.35,148.66,75.81,221.51
16-12-17,22-12-17,,185.42,35.94,0,220.39,,132.7,143.17,70.32,216.01
23-12-17,29-12-17,,183.03,251.43,66.29,436.58,,127.59,135.1,62.25,207.95
30-12-17,05-01-18,,173.36,262.29,74.69,449.88,,138.8,171.37,98.52,244.22
06-01-18,12-01-18,,172.83,246.82,59.17,434.48,,141.19,145.54,72.69,218.39
13-01-18,19-01-18,,196.63,228.03,40.37,415.68,,162.13,157.1,84.26,229.95
20-01-18,26-01-18,,247.31,217.87,30.05,405.69,,154.05,156.39,83.54,229.23
27-01-18,02-02-18,,360.77,248.27,60.37,436.17,,192.38,149.94,77.09,222.79
03-02-18,09-02-18,,479.81,212.16,24.22,400.09,,306.24,149.22,76.37,222.07
10-02-18,16-02-18,,351.57,174.24,0,362.23,,209.22,162.87,90.02,235.72
17-02-18,23-02-18,,372.64,178.98,0,367,,179.33,172.36,99.51,245.21
24-02-18,02-03-18,,489,222.55,34.49,410.6,,271.86,199.59,126.74,272.43
03-03-18,09-03-18,,371.71,156.15,0,344.23,,154.83,196.39,123.54,269.24
10-03-18,16-03-18,,444.18,166.91,0,355.01,,248.09,186.78,113.94,259.63
17-03-18,23-03-18,,259.44,316.4,128.28,504.52,,154.49,162.33,89.48,235.18
24-03-18,30-03-18,,236.08,396.22,208.08,584.35,,208.53,197.56,124.71,270.41
31-03-18,06-04-18,,186.15,272.91,84.77,461.06,,125.74,116,43.16,188.85
07-04-18,13-04-18,,195.9,127.53,0,315.69,,115.18,82.82,9.97,155.67
14-04-18,20-04-18,,123.86,117.95,0,306.12,,71.05,56.78,0,129.63
21-04-18,27-04-18,,123.45,104.25,0,292.42,,72.3,61.36,0,134.21
28-04-18,04-05-18,,135.85,111.28,0,299.46,,78.05,62.46,0,135.31
05-05-18,11-05-18,,109.65,105.75,0,293.93,,58.93,67.5,0,140.35
12-05-18,18-05-18,,122.02,89.76,0,277.94,,66.11,66.71,0,139.55
19-05-18,25-05-18,,123.97,95.71,0,283.9,,65.23,57.31,0,130.16
26-05-18,01-06-18,,83.7,98.22,0,286.41,,44.95,63.79,0,136.64
02-06-18,08-06-18,,101.3,66.16,0,254.36,,55.62,52.72,0,125.56
09-06-18,15-06-18,,82.63,85.77,0,273.97,,53,61.65,0,134.5
16-06-18,22-06-18,,72.04,54.02,0,242.22,,46.3,20.89,0,93.74
23-06-18,29-06-18,,55.87,54.76,0,242.95,,42.67,37.3,0,110.15
30-06-18,06-07-18,,60.24,26.04,0,214.24,,37.33,11.16,0,84.01
07-07-18,13-07-18,,55.66,39.86,0,228.06,,35.65,25.21,0,98.06
14-07-18,20-07-18,,69.1,57.58,0,245.77,,43.95,39.43,0,112.27
21-07-18,27-07-18,,65.74,63.38,0,251.58,,41.4,32.22,0,105.07
28-07-18,03-08-18,,58.83,51.92,0,240.12,,45.27,46.84,0,119.69
04-08-18,10-08-18,,76.67,48.14,0,236.34,,52.66,43.14,0,115.99
11-08-18,17-08-18,,75.93,48.58,0,236.78,,47.95,34.19,0,107.03
18-08-18,24-08-18,,63.77,64.26,0,252.46,,40.13,43.35,0,116.2
25-08-18,31-08-18,,45.16,61.24,0,249.45,,28.96,41.67,0,114.52
01-09-18,07-09-18,,45.67,64.3,0,252.5,,30.72,35.81,0,108.66
08-09-18,14-09-18,,59.79,63.82,0,252.02,,44.2,38.51,0,111.35
15-09-18,21-09-18,,83.5,67.27,0,255.47,,58.33,59.98,0,132.83
22-09-18,28-09-18,,80.23,65.55,0,253.75,,55.77,41.77,0,114.61
29-09-18,05-10-18,,100.71,77.15,0,265.35,,75.22,56.35,0,129.2
06-10-18,12-10-18,,165.28,77.73,0,265.93,,108,52.72,0,125.57
13-10-18,19-10-18,,78.03,87.45,0,275.66,,51.38,43.06,0,115.9
20-10-18,26-10-18,,195.8,90.72,0,278.93,,114.9,58.27,0,131.12
27-10-18,02-11-18,,138.91,109.05,0,297.26,,38.1,85.61,12.76,158.45
03-11-18,09-11-18,,102.27,147.81,0,336.01,,65.78,74.51,1.66,147.36
10-11-18,16-11-18,,180.08,147.88,0,336.09,,114.58,88.78,15.94,161.63
17-11-18,23-11-18,,209.94,215.37,27.16,403.57,,133.09,67.75,0,140.6
24-11-18,30-11-18,,178.45,160.78,0,348.99,,106.31,126.93,54.08,199.78
01-12-18,07-12-18,,134.88,144.35,0,332.55,,93.64,141.35,68.51,214.2
08-12-18,14-12-18,,174.53,111.95,0,322.72,,132.75,149,52.88,245.13
15-12-18,21-12-18,,202.38,85.27,0,297.54,,151.85,142.31,46.19,238.43
22-12-18,28-12-18,,135.44,166.78,0,379.23,,103.43,134.47,38.34,230.59
29-12-18,04-01-19,,223.97,302.99,89.93,516.05,,134.28,171.9,75.78,268.02
05-01-19,11-01-19,,151.43,219.53,6.45,432.6,,107.16,145.19,49.07,241.31
